trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
19,entropy,7,4,4,balanced,6,29,29,0.6444444444444445,0.6190476190476191,0.709486166007905,45
19,entropy,7,4,4,balanced,6,30,30,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
19,entropy,7,4,4,balanced,6,31,31,0.5555555555555556,0.696969696969697,0.7401185770750989,45
19,entropy,7,4,4,balanced,6,32,32,0.7272727272727273,0.7857142857142857,0.8685300207039338,44
19,entropy,7,4,4,balanced,6,33,33,0.6666666666666666,0.6511627906976745,0.7322134387351779,45
19,entropy,7,4,4,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6607142857142857,45
19,entropy,7,4,4,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.6215415019762845,45
19,entropy,7,4,4,balanced,6,36,36,0.5227272727272727,0.6181818181818182,0.5247933884297521,44
19,entropy,7,4,4,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
19,entropy,7,4,4,balanced,6,38,38,0.5333333333333333,0.46153846153846156,0.5770750988142292,45
19,entropy,7,4,4,balanced,6,39,39,0.4318181818181818,0.4444444444444444,0.3364389233954451,44
19,entropy,7,4,4,balanced,6,40,40,0.4222222222222222,0.0,0.3998015873015873,45
19,entropy,7,4,4,balanced,6,41,41,0.5333333333333333,0.0,0.5,45
19,entropy,7,4,4,balanced,6,42,42,0.7333333333333333,0.7391304347826086,0.8043478260869567,45
19,entropy,7,4,4,balanced,6,43,43,0.6444444444444445,0.4666666666666667,0.7065217391304348,45
19,entropy,7,4,4,balanced,6,44,44,0.7241379310344828,0.6666666666666666,0.7119047619047618,29
19,entropy,7,4,4,balanced,6,45,45,0.5777777777777777,0.5365853658536586,0.6027667984189724,45
19,entropy,7,4,4,balanced,6,46,46,0.4666666666666667,0.625,0.4762845849802371,45
19,entropy,7,4,4,balanced,6,47,47,0.5333333333333333,0.0,0.5,45
19,entropy,7,4,4,balanced,6,48,48,0.7058823529411765,0.7058823529411765,0.7714285714285715,17
19,entropy,7,4,4,balanced,6,49,49,0.7777777777777778,0.75,0.7559288537549408,45
19,entropy,7,4,4,balanced,6,50,50,0.5111111111111111,0.0,0.5,45
19,entropy,7,4,4,balanced,6,51,51,0.5333333333333333,0.0,0.5,45
19,entropy,7,4,4,balanced,6,52,52,0.7073170731707317,0.5714285714285714,0.6746411483253589,41
19,entropy,7,4,4,balanced,6,53,53,0.627906976744186,0.5555555555555556,0.6038961038961039,43
19,entropy,7,4,4,balanced,6,54,54,0.5641025641025641,0.6382978723404256,0.75,39
19,entropy,7,4,4,balanced,6,55,55,0.5111111111111111,0.0,0.5,45
19,entropy,7,4,4,balanced,6,56,56,0.5681818181818182,0.6666666666666666,0.6580578512396694,44
19,entropy,7,4,4,balanced,6,57,57,0.5777777777777777,0.4864864864864865,0.5734126984126984,45
19,entropy,7,4,4,balanced,6,58,58,0.5111111111111111,0.5925925925925926,0.5158730158730158,45
19,entropy,7,4,4,balanced,6,59,59,0.4888888888888889,0.20689655172413793,0.4246031746031746,45
19,entropy,7,4,4,balanced,6,60,60,0.8181818181818182,0.8333333333333334,0.8429752066115702,44
19,entropy,7,4,4,balanced,6,61,61,0.6976744186046512,0.7346938775510204,0.7142857142857144,43
19,entropy,7,4,4,balanced,6,62,62,0.7777777777777778,0.75,0.8705533596837944,45
19,entropy,7,4,4,balanced,6,63,63,0.5581395348837209,0.3448275862068966,0.5292207792207793,43
19,entropy,7,4,4,balanced,6,64,64,0.5111111111111111,0.0,0.5,45
19,entropy,7,4,4,balanced,6,65,65,0.5333333333333333,0.6666666666666666,0.5625,45
19,entropy,7,4,4,balanced,6,66,66,0.6,0.5909090909090909,0.5879446640316205,45
19,entropy,7,4,4,balanced,6,67,67,0.5555555555555556,0.2857142857142857,0.6205533596837944,45
19,entropy,7,4,4,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5424901185770751,45
19,entropy,7,4,4,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5109126984126984,45
19,entropy,7,4,4,balanced,6,70,70,0.5777777777777777,0.6415094339622641,0.567193675889328,45
19,entropy,7,4,4,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.8112648221343873,45
19,entropy,7,4,4,balanced,6,72,72,0.4888888888888889,0.0,0.5,45
19,entropy,7,4,4,balanced,6,73,73,0.5111111111111111,0.0,0.5,45
19,entropy,7,4,4,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5059523809523809,45
19,entropy,7,4,4,balanced,6,75,75,0.6585365853658537,0.5625,0.6142857142857143,41
19,entropy,7,4,4,balanced,6,76,76,0.5111111111111111,0.15384615384615385,0.5019762845849802,45
19,entropy,7,4,4,balanced,6,77,77,0.4888888888888889,0.41025641025641024,0.5168650793650794,45
19,entropy,7,4,4,balanced,6,78,78,0.5777777777777777,0.6545454545454545,0.5810276679841897,45
19,entropy,7,4,4,balanced,6,79,79,0.7,0.6470588235294118,0.6487499999999999,40
19,entropy,7,4,4,balanced,6,80,80,0.5333333333333333,0.16,0.6640316205533596,45
19,entropy,7,4,4,balanced,6,81,81,0.6,0.5263157894736842,0.6205533596837944,45
19,entropy,7,4,4,balanced,6,82,82,0.5555555555555556,0.6774193548387096,0.6027667984189723,45
19,entropy,7,4,4,balanced,6,83,83,0.5789473684210527,0.3333333333333333,0.574792243767313,38
19,entropy,7,4,4,balanced,6,84,84,0.6363636363636364,0.6666666666666666,0.7515527950310558,44
19,entropy,7,4,4,balanced,6,85,85,0.5909090909090909,0.6896551724137931,0.8033126293995859,44
19,entropy,7,4,4,balanced,6,86,86,0.6136363636363636,0.6666666666666666,0.6231884057971014,44
19,entropy,7,4,4,balanced,6,87,87,0.4666666666666667,0.5714285714285714,0.5187747035573121,45
19,entropy,7,4,4,balanced,6,88,88,0.45454545454545453,0.0625,0.49735449735449744,55
19,entropy,7,4,4,balanced,6,89,89,0.5333333333333333,0.0,0.5,45
19,entropy,7,4,4,balanced,6,90,90,0.4444444444444444,0.5098039215686274,0.4644268774703557,45
19,entropy,7,4,4,balanced,6,91,91,0.6136363636363636,0.6382978723404256,0.6570247933884297,44
19,entropy,7,4,4,balanced,6,92,92,0.5357142857142857,0.3157894736842105,0.708974358974359,56
19,entropy,7,4,4,balanced,6,93,93,0.7333333333333333,0.75,0.6956521739130437,45
19,entropy,7,4,4,balanced,6,94,94,0.8181818181818182,0.8518518518518519,0.8623188405797101,44
19,entropy,7,4,4,balanced,6,95,95,0.4642857142857143,0.4827586206896552,0.46875,28
19,entropy,7,4,4,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5351473922902494,42
19,entropy,7,4,4,balanced,6,97,97,0.5,0.0,0.48347107438016534,44
19,entropy,7,4,4,balanced,6,98,98,0.5555555555555556,0.5,0.5375494071146245,45
19,entropy,7,4,4,balanced,6,99,99,0.46511627906976744,0.5964912280701754,0.4632034632034633,43
19,entropy,7,4,4,balanced,6,100,100,0.5,0.5263157894736842,0.441358024691358,36
19,entropy,7,4,4,balanced,6,101,101,0.4888888888888889,0.0,0.559288537549407,45
19,entropy,7,4,4,balanced,6,102,102,0.4888888888888889,0.0,0.5,45
19,entropy,7,4,4,balanced,6,103,103,0.627906976744186,0.5294117647058824,0.6796536796536796,43
19,entropy,7,4,4,balanced,6,104,104,0.5581395348837209,0.5581395348837209,0.5660173160173161,43
19,entropy,7,4,4,balanced,6,105,105,0.5111111111111111,0.5,0.516798418972332,45
19,entropy,7,4,4,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.48710317460317454,45
19,entropy,7,4,4,balanced,6,107,107,0.4,0.47058823529411764,0.4295634920634921,45
19,entropy,7,4,4,balanced,6,108,108,0.7333333333333333,0.7,0.7737154150197628,45
20,entropy,9,6,9,balanced,6,1,1,0.6222222222222222,0.711864406779661,0.6551383399209486,45
20,entropy,9,6,9,balanced,6,2,2,0.5777777777777777,0.24,0.841897233201581,45
20,entropy,9,6,9,balanced,6,3,3,0.5111111111111111,0.6206896551724138,0.4239130434782608,45
20,entropy,9,6,9,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
20,entropy,9,6,9,balanced,6,5,5,0.4444444444444444,0.358974358974359,0.4722222222222222,45
20,entropy,9,6,9,balanced,6,6,6,0.4444444444444444,0.1935483870967742,0.4265873015873016,45
20,entropy,9,6,9,balanced,6,7,7,0.7555555555555555,0.7441860465116279,0.6828063241106719,45
20,entropy,9,6,9,balanced,6,8,8,0.5555555555555556,0.3333333333333333,0.6956521739130435,45
20,entropy,9,6,9,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5436507936507936,45
20,entropy,9,6,9,balanced,6,10,10,0.6222222222222222,0.6222222222222222,0.685515873015873,45
20,entropy,9,6,9,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
20,entropy,9,6,9,balanced,6,12,12,0.4666666666666667,0.07692307692307693,0.47718253968253965,45
20,entropy,9,6,9,balanced,6,13,13,0.6857142857142857,0.7317073170731707,0.803921568627451,35
20,entropy,9,6,9,balanced,6,14,14,0.5555555555555556,0.6428571428571429,0.532608695652174,45
20,entropy,9,6,9,balanced,6,15,15,0.7555555555555555,0.7843137254901961,0.8527667984189723,45
20,entropy,9,6,9,balanced,6,16,16,0.4888888888888889,0.14814814814814814,0.4980237154150197,45
20,entropy,9,6,9,balanced,6,17,17,0.5952380952380952,0.2608695652173913,0.5284090909090909,42
20,entropy,9,6,9,balanced,6,18,18,0.5333333333333333,0.5333333333333333,0.5434782608695652,45
20,entropy,9,6,9,balanced,6,19,19,0.5333333333333333,0.6181818181818182,0.6037549407114624,45
20,entropy,9,6,9,balanced,6,20,20,0.5111111111111111,0.0,0.5,45
20,entropy,9,6,9,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6329365079365079,45
20,entropy,9,6,9,balanced,6,22,22,0.6222222222222222,0.6222222222222222,0.6096837944664033,45
20,entropy,9,6,9,balanced,6,23,23,0.6818181818181818,0.6818181818181818,0.7685950413223139,44
20,entropy,9,6,9,balanced,6,24,24,0.4444444444444444,0.375,0.6038961038961038,18
20,entropy,9,6,9,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5,45
20,entropy,9,6,9,balanced,6,26,26,0.4444444444444444,0.4444444444444444,0.43650793650793646,45
20,entropy,9,6,9,balanced,6,27,27,0.5111111111111111,0.6206896551724138,0.5998023715415021,45
20,entropy,9,6,9,balanced,6,28,28,0.4666666666666667,0.3684210526315789,0.42292490118577075,45
20,entropy,9,6,9,balanced,6,29,29,0.7333333333333333,0.75,0.8092885375494071,45
20,entropy,9,6,9,balanced,6,30,30,0.5555555555555556,0.09090909090909091,0.5456349206349207,45
20,entropy,9,6,9,balanced,6,31,31,0.6666666666666666,0.7457627118644068,0.8122529644268774,45
20,entropy,9,6,9,balanced,6,32,32,0.8409090909090909,0.8444444444444444,0.8716356107660456,44
20,entropy,9,6,9,balanced,6,33,33,0.6888888888888889,0.5625,0.7954545454545454,45
20,entropy,9,6,9,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6795634920634921,45
20,entropy,9,6,9,balanced,6,35,35,0.5333333333333333,0.16,0.591897233201581,45
20,entropy,9,6,9,balanced,6,36,36,0.45454545454545453,0.42857142857142855,0.3997933884297521,44
20,entropy,9,6,9,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
20,entropy,9,6,9,balanced,6,38,38,0.4888888888888889,0.46511627906976744,0.5306324110671936,45
20,entropy,9,6,9,balanced,6,39,39,0.36363636363636365,0.3333333333333333,0.3188405797101449,44
20,entropy,9,6,9,balanced,6,40,40,0.5111111111111111,0.15384615384615385,0.5277777777777777,45
20,entropy,9,6,9,balanced,6,41,41,0.5333333333333333,0.0,0.4851190476190476,45
20,entropy,9,6,9,balanced,6,42,42,0.7555555555555555,0.7441860465116279,0.8596837944664031,45
